doc_id,ticker,form,doc_type,doc_role,filing_date,n_chars,n_words,alpha_ratio,mean_word_len,fragment_rate,n_tables,n_sections,xbrl_leak,entity_residue,toc_residue,near_empty,short_exhibit,size_outlier,low_alpha,odd_word_len,fragmented,warnings
301433c02d926d5a,ADBE,10-K,10-K,primary,2026-01-15,370449,61992,0.729,4.87,0.0069,73,19,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:268
8feee2b16fce41b1,ADBE,8-K,8-K,primary,2025-12-10,13670,2039,0.795,5.67,0.0115,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:4
67214c0b420183e0,ADBE,8-K,EX-99.1,exhibit,2025-12-10,29636,5844,0.568,3.82,0.0029,13,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:8
bda615e120a1a46c,ADBE,10-Q,10-Q,primary,2025-09-24,209549,37944,0.677,4.37,0.005,51,8,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:180
7d26e70eee03e65f,ADBE,8-K,8-K,primary,2025-09-11,13578,2022,0.797,5.68,0.0116,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:4
3d7d37cd0ef0dd9e,ADBE,8-K,EX-99.1,exhibit,2025-09-11,24973,4976,0.567,3.78,0.0034,13,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:8
17093dc29d1a86cf,ADBE,10-Q,10-Q,primary,2025-06-25,209720,38173,0.676,4.34,0.005,52,8,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:179
6a20bb49b6272a61,ADBE,8-K,8-K,primary,2025-06-12,13556,2023,0.796,5.67,0.0116,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:4
7646ab7da4e0efa5,ADBE,8-K,EX-99.1,exhibit,2025-06-12,24376,4867,0.567,3.77,0.003,13,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:8
6ab51377cc5639fd,ADBE,8-K,8-K,primary,2025-04-24,9596,1706,0.621,4.5,0.0168,9,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:4
253c2437ae7fff69,ADBE,10-Q,10-Q,primary,2025-03-26,198189,34472,0.706,4.62,0.0059,49,8,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:177
e48a95e899ef8449,ADBE,8-K,8-K,primary,2025-03-12,13522,2015,0.796,5.68,0.0116,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:4
464b4dc7d2b4ff55,ADBE,8-K,EX-99.1,exhibit,2025-03-12,25133,4814,0.602,4.0,0.0036,12,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:8
3742d9105073dd75,ADBE,8-K,8-K,primary,2025-01-30,14722,2462,0.724,4.91,0.014,7,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:5
86c696d47b787fb6,ADBE,8-K,8-K,primary,2025-01-17,8882,1513,0.691,4.83,0.0238,10,0,False,False,False,False,False,False,False,False,False,
7889e270a587cb61,ADBE,10-K,10-K,primary,2025-01-13,402016,66633,0.736,4.93,0.0061,76,20,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:283
642c1a0221285258,ADBE,8-K,8-K,primary,2024-12-11,13558,2020,0.796,5.68,0.0116,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:4
b312a77e2410e00e,ADBE,8-K,EX-99.1,exhibit,2024-12-11,28141,5655,0.554,3.72,0.0027,12,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:8
3dfb9ce4f9a6dd66,ADBE,10-Q,10-Q,primary,2024-09-25,213633,38719,0.677,4.37,0.0052,57,9,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:186
a2bbb50634c04f50,ADBE,8-K,8-K,primary,2024-09-12,13527,2016,0.796,5.68,0.0116,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:4
5b1d84e3ea3787a7,ADBE,8-K,EX-99.1,exhibit,2024-09-12,22551,4497,0.568,3.77,0.0033,8,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:7
769069769ad7e782,ADBE,8-K,8-K,primary,2024-08-08,5603,902,0.722,5.15,0.0208,3,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:2
171917ee2353f66f,ADBE,8-K,8-K,primary,2024-07-18,3341,550,0.685,4.98,0.032,3,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:2
3364efc9fd832714,ADBE,10-Q,10-Q,primary,2024-06-26,211890,38583,0.676,4.34,0.0055,55,8,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:184
51d255455a8b2060,ADBE,8-K,8-K,primary,2024-06-13,13141,1969,0.794,5.64,0.0114,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:3
dc7a347168cd2c4c,ADBE,8-K,EX-99.1,exhibit,2024-06-13,23655,4763,0.56,3.72,0.0032,10,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:8
8c03dd2467b6861c,ADBE,8-K,8-K,primary,2024-04-19,7359,1366,0.553,4.24,0.021,10,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:3
2e85fde17ca111d1,ADBE,8-K,8-K,primary,2024-04-04,9108,1577,0.684,4.72,0.0225,10,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:3
6c426fb273ef3b83,ADBE,10-Q,10-Q,primary,2024-03-27,196663,34089,0.711,4.65,0.0055,52,9,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:175
c073ef9b946abbd9,ADBE,8-K,8-K,primary,2024-03-14,14472,2178,0.794,5.61,0.0103,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:4
bc6c8f6e7f15ee3b,ADBE,8-K,EX-99.1,exhibit,2024-03-14,21080,4066,0.601,3.97,0.0042,7,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:7
4f7a02cd7a3c2425,ADBE,8-K,EX-99.2,exhibit,2024-03-14,4836,687,0.813,6.01,0.0117,0,0,False,False,False,False,False,False,False,False,False,
5d2b7fed48c939d7,ADBE,8-K,8-K,primary,2024-01-26,14922,2496,0.729,4.92,0.0132,7,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:5
646202e69050ac9f,ADBE,10-K,10-K,primary,2024-01-17,391295,65197,0.733,4.9,0.0065,78,19,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:284
09f1ededa1dc24b3,ADBE,8-K,8-K,primary,2023-12-18,6014,1015,0.696,4.83,0.0223,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:2
2da43fbc6f6504e0,ADBE,8-K,EX-99.1,exhibit,2023-12-18,6017,875,0.814,5.85,0.0046,0,0,False,False,False,False,False,False,False,False,False,
91bd1c9437aa334a,ADBE,8-K,8-K,primary,2023-12-13,14895,2246,0.793,5.6,0.0105,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:4
9f6eca7d30b7da07,ADBE,8-K,EX-99.1,exhibit,2023-12-13,27117,5454,0.554,3.72,0.0028,11,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:8
dbf95d257cca4905,ADBE,8-K,8-K,primary,2023-10-26,5099,870,0.681,4.76,0.0295,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:2
42f08749fbe08b78,ADBE,8-K,EX-99.1,exhibit,2023-10-26,2531,372,0.806,5.76,0.0214,0,0,False,False,False,False,False,False,False,False,False,
a06c45c33c3cad96,ADBE,10-Q,10-Q,primary,2023-09-27,218983,39317,0.686,4.42,0.005,56,9,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:183
2081e082f6271629,ADBE,8-K,8-K,primary,2023-09-14,15980,2424,0.794,5.56,0.0092,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:5
77b620146c3d7e02,ADBE,8-K,EX-99.1,exhibit,2023-09-14,20981,4235,0.557,3.7,0.0026,8,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:6
62d96527db92deda,ADBE,10-Q,10-Q,primary,2023-06-28,216523,39199,0.682,4.37,0.0048,56,9,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:183
d64660df364d662a,ADBE,8-K,8-K,primary,2023-06-15,12653,1901,0.793,5.62,0.0112,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:4
329c1997bf2a0828,ADBE,8-K,EX-99.1,exhibit,2023-06-15,23158,4693,0.554,3.68,0.0023,11,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:8
4112715eb34c62ec,ADBE,8-K,8-K,primary,2023-04-24,6826,1285,0.538,4.16,0.0217,10,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:3
94122b6e073ac102,ADBE,10-Q,10-Q,primary,2023-03-29,204521,35428,0.714,4.65,0.0051,54,9,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:176
322a06e0edb94188,ADBE,8-K,8-K,primary,2023-03-15,12658,1901,0.793,5.63,0.0112,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:4
57f87db8aeae0a4c,ADBE,8-K,EX-99.1,exhibit,2023-03-15,21289,4205,0.579,3.83,0.0024,10,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:8
51a421f4ff0e3737,ADBE,8-K,8-K,primary,2023-01-26,15281,2560,0.73,4.91,0.0129,7,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:5
8f58cc2103df0b5b,ADBE,8-K,8-K,primary,2023-01-19,8049,1344,0.736,4.94,0.0174,11,0,False,False,False,False,False,False,False,False,False,
25fc5ec6d5b0db5f,ADBE,10-K,10-K,primary,2023-01-17,396281,66005,0.735,4.9,0.0061,78,18,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:283
56a7ab1c523f042f,CAT,8-K,8-K,primary,2026-09-01,10333,1633,0.738,5.29,0.0173,6,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:2
a75f7c93c12f84de,CAT,10-Q,10-Q,primary,2026-08-05,310244,66445,0.531,3.38,0.0094,84,9,False,False,False,False,False,False,False,True,False,info:page_artifacts_dropped:225
627a1ca34be25ad2,CAT,8-K,8-K,primary,2026-08-04,4427,883,0.586,3.81,0.0461,5,0,False,False,False,False,False,False,False,False,False,
adeb40178caba7b3,CAT,8-K,EX-99.1,exhibit,2026-08-04,83267,19603,0.423,2.88,0.0141,33,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:81
12c1bb59d6904eb2,CAT,8-K,EX-99.2,exhibit,2026-08-04,11277,1730,0.77,5.5,0.0108,1,0,False,False,False,False,False,False,False,False,False,
8ac611cfc710de41,CAT,8-K,8-K,primary,2026-06-11,6958,1373,0.532,3.89,0.0423,13,0,False,False,False,False,False,False,False,False,False,
946aec3a4567f85a,CAT,8-K,EX-99.1,exhibit,2026-06-11,2100,310,0.776,5.74,0.0208,1,0,False,False,False,False,False,False,False,False,False,
918039c61cbb9f81,CAT,10-Q,10-Q,primary,2026-05-06,248203,50952,0.569,3.61,0.0094,71,9,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:172
2d5c60eac0c4e4ee,CAT,8-K,8-K,primary,2026-04-30,4428,883,0.585,3.81,0.0461,5,0,False,False,False,False,False,False,False,False,False,
84dd38a920231249,CAT,8-K,EX-99.1,exhibit,2026-04-30,74631,17475,0.431,2.91,0.013,29,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:71
5b57b021b02391b7,CAT,8-K,EX-99.2,exhibit,2026-04-30,11282,1730,0.77,5.5,0.0108,1,0,False,False,False,False,False,False,False,False,False,
3cbe0422712e1fa3,CAT,8-K,8-K,primary,2026-04-13,3165,569,0.655,4.49,0.0438,6,0,False,False,False,False,False,False,False,False,False,
5c6195d0e1893e0f,CAT,8-K,8-K,primary,2026-04-10,5244,905,0.69,4.73,0.0334,9,0,False,False,False,False,False,False,False,False,False,
e3a74cb26bc6ca42,CAT,8-K,EX-99.1,exhibit,2026-04-10,3799,553,0.798,5.84,0.0,2,0,False,False,False,False,False,False,False,False,False,
3b17088bedf658d1,CAT,8-K,8-K,primary,2026-03-26,6738,1142,0.705,4.81,0.0305,5,0,False,False,False,False,False,False,False,False,False,
852595b000c79588,CAT,8-K,EX-99.1,exhibit,2026-03-26,41290,11340,0.253,2.19,0.0147,12,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:10
e3888caf13e09ffa,CAT,8-K,EX-99.2,exhibit,2026-03-26,4977,689,0.81,6.21,0.0103,0,0,False,False,False,False,False,False,False,False,False,
01329c1bf08d4878,CAT,10-K,10-K,primary,2026-02-13,526718,101368,0.617,3.97,0.0137,127,21,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:258
bd2be7d4eb0646fe,CAT,8-K,8-K,primary,2026-01-29,4439,883,0.586,3.83,0.0461,5,0,False,False,False,False,False,False,False,False,False,
7cfba388d6d74e71,CAT,8-K,EX-99.1,exhibit,2026-01-29,91922,21490,0.426,2.92,0.0139,35,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:82
0a99f55eae2b53f7,CAT,8-K,EX-99.2,exhibit,2026-01-29,11121,1756,0.755,5.3,0.0125,1,0,False,False,False,False,False,False,False,False,False,
2bafe44f90e471ce,CAT,8-K,8-K,primary,2026-01-06,4797,832,0.692,4.7,0.031,6,0,False,False,False,False,False,False,False,False,False,
84f5cf99219b316a,CAT,8-K,EX-99.1,exhibit,2026-01-06,6965,1017,0.801,5.83,0.01,0,0,False,False,False,False,False,False,False,False,False,
9ab9f36a24f75641,CAT,10-Q,10-Q,primary,2025-11-03,312143,66176,0.536,3.43,0.0095,81,9,False,False,False,False,False,False,False,True,False,info:page_artifacts_dropped:220
1b650bb6f65a2956,CAT,8-K,8-K,primary,2025-10-29,4440,883,0.586,3.83,0.0461,5,0,False,False,False,False,False,False,False,False,False,
759d31bff575b252,CAT,8-K,EX-99.1,exhibit,2025-10-29,84920,19864,0.429,2.91,0.0138,33,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:81
78022a4348e6d4a6,CAT,8-K,EX-99.2,exhibit,2025-10-29,11067,1724,0.763,5.4,0.0125,1,0,False,False,False,False,False,False,False,False,False,
abfea51fe58e5a6e,CAT,8-K,8-K,primary,2025-09-03,9991,1610,0.733,5.17,0.018,11,0,False,False,False,False,False,False,False,False,False,
8c49b5cc604a3d3a,CAT,8-K,8-K,primary,2025-08-28,7975,1252,0.747,5.34,0.0239,7,0,False,False,False,False,False,False,False,False,False,
56fd7c9dcaaddb72,CAT,10-Q,10-Q,primary,2025-08-06,304324,65121,0.53,3.39,0.0093,81,9,False,False,False,False,False,False,False,True,False,info:page_artifacts_dropped:216
5cd4e20119fa03e7,CAT,8-K,8-K,primary,2025-08-05,4427,883,0.586,3.81,0.0461,5,0,False,False,False,False,False,False,False,False,False,
105bec3c9ba4304d,CAT,8-K,EX-99.1,exhibit,2025-08-05,83659,19642,0.425,2.89,0.0135,33,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:83
082054ff9d1be543,CAT,8-K,EX-99.2,exhibit,2025-08-05,11149,1728,0.764,5.44,0.0125,1,0,False,False,False,False,False,False,False,False,False,
b691df51f76a18cb,CAT,8-K,8-K,primary,2025-06-12,6799,1202,0.609,4.6,0.0369,12,0,False,False,False,False,False,False,False,False,False,
6b97a50b94e9f588,CAT,8-K,EX-99.1,exhibit,2025-06-12,2291,332,0.782,5.86,0.0193,1,0,False,False,False,False,False,False,False,False,False,
db1c044f8489fa26,CAT,8-K,8-K,primary,2025-05-15,7501,1269,0.711,4.86,0.0242,7,0,False,False,False,False,False,False,False,False,False,
15e744ef174cab17,CAT,10-Q,10-Q,primary,2025-05-07,241078,49608,0.565,3.6,0.009,68,9,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:172
cc78d441ccc90eb3,CAT,8-K,8-K,primary,2025-04-30,4428,883,0.585,3.81,0.0461,5,0,False,False,False,False,False,False,False,False,False,
6b2f533316fadb92,CAT,8-K,EX-99.1,exhibit,2025-04-30,76303,17744,0.434,2.94,0.0121,29,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:71
a753490d237a6b04,CAT,8-K,EX-99.2,exhibit,2025-04-30,11161,1730,0.763,5.44,0.0125,1,0,False,False,False,False,False,False,False,False,False,
f6487720add8d527,CAT,8-K,8-K,primary,2025-04-15,6312,1072,0.7,4.83,0.031,10,0,False,False,False,False,False,False,False,False,False,
813b6e593b94fe7d,CAT,8-K,EX-99.1,exhibit,2025-04-15,7953,1139,0.803,5.96,0.009,0,0,False,False,False,False,False,False,False,False,False,
0dc28c6f547747f6,CAT,8-K,8-K,primary,2025-04-09,3452,606,0.672,4.62,0.042,6,0,False,False,False,False,False,False,False,False,False,
5650ea1d8484f009,CAT,10-K,10-K,primary,2025-02-14,524947,100681,0.619,3.99,0.0135,126,21,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:257
f84eb6c0990fe92b,CAT,8-K,8-K,primary,2025-01-30,4439,883,0.586,3.83,0.0461,5,0,False,False,False,False,False,False,False,False,False,
c600f12ba19df482,CAT,8-K,EX-99.1,exhibit,2025-01-30,92653,21570,0.43,2.94,0.0142,35,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:84
dd2db064cc28fd09,CAT,8-K,EX-99.2,exhibit,2025-01-30,11260,1760,0.757,5.37,0.0125,1,0,False,False,False,False,False,False,False,False,False,
2be340d72c8b6ef1,CAT,10-Q,10-Q,primary,2024-11-06,299926,63584,0.535,3.44,0.0093,83,9,False,False,False,False,False,False,False,True,False,info:page_artifacts_dropped:214
c1d98e0768694045,CAT,8-K,8-K,primary,2024-10-30,4440,883,0.586,3.83,0.0461,5,0,False,False,False,False,False,False,False,False,False,
ab890977af4cfb1a,CAT,8-K,EX-99.1,exhibit,2024-10-30,83021,19540,0.422,2.88,0.0139,33,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:83
9aa0d75677d16e2e,CAT,8-K,EX-99.2,exhibit,2024-10-30,11151,1728,0.763,5.44,0.0125,1,0,False,False,False,False,False,False,False,False,False,
752b5b668b80c0d2,CAT,8-K,8-K,primary,2024-10-11,4531,896,0.595,3.86,0.0388,5,0,False,False,False,False,False,False,False,False,False,
edf8564d18a1d8db,CAT,8-K,EX-99.1,exhibit,2024-10-11,6133,862,0.803,6.1,0.0095,0,0,False,False,False,False,False,False,False,False,False,
b4e779cc765e2f8a,CAT,8-K,8-K,primary,2024-09-04,8832,1438,0.72,5.1,0.0181,12,0,False,False,False,False,False,False,False,False,False,
46152cae7b4f8c25,CAT,10-Q,10-Q,primary,2024-08-07,296194,63277,0.531,3.4,0.0096,83,9,False,False,False,False,False,False,False,True,False,info:page_artifacts_dropped:214
bfb8129c9a9cb36a,CAT,8-K,8-K,primary,2024-08-06,4427,883,0.586,3.81,0.0461,5,0,False,False,False,False,False,False,False,False,False,
c8af953be0f8e642,CAT,8-K,EX-99.1,exhibit,2024-08-06,84784,19817,0.429,2.92,0.0162,33,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:83
1fc628abe7f83576,CAT,8-K,EX-99.2,exhibit,2024-08-06,11130,1729,0.762,5.42,0.0125,1,0,False,False,False,False,False,False,False,False,False,
3197bcc1f18daff6,CAT,8-K,8-K,primary,2024-06-14,7266,1267,0.63,4.69,0.0326,12,0,False,False,False,False,False,False,False,False,False,
3faa9e1486286121,CAT,8-K,EX-99.1,exhibit,2024-06-14,2669,379,0.794,6.0,0.0137,0,0,False,False,False,False,False,False,False,False,False,
224beb63423be0d2,CAT,10-Q,10-Q,primary,2024-05-01,240428,49188,0.57,3.63,0.0089,69,9,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:165
4fea3055d32dcab4,CAT,8-K,8-K,primary,2024-04-25,4428,883,0.585,3.81,0.0461,5,0,False,False,False,False,False,False,False,False,False,
fd1772e1634231de,CAT,8-K,EX-99.1,exhibit,2024-04-25,76183,17830,0.431,2.91,0.0134,29,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:71
9491eddf48615d9a,CAT,8-K,EX-99.2,exhibit,2024-04-25,10886,1784,0.744,5.08,0.0129,3,0,False,False,False,False,False,False,False,False,False,
e3e0fb332b2adf42,CAT,8-K,8-K,primary,2024-04-03,4030,819,0.579,3.71,0.0438,5,0,False,False,False,False,False,False,False,False,False,
c201ff777bbf4b79,CAT,10-K,10-K,primary,2024-02-16,520364,99748,0.62,4.0,0.0131,122,21,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:252
0118e5453f927080,CAT,8-K,8-K,primary,2024-02-05,4438,883,0.587,3.83,0.0461,5,0,False,False,False,False,False,False,False,False,False,
e3edf2424b8bea94,CAT,8-K,EX-99.1,exhibit,2024-02-05,87584,20439,0.427,2.93,0.0156,31,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:80
54c4415de655700d,CAT,8-K,EX-99.2,exhibit,2024-02-05,10300,1752,0.729,4.84,0.0151,3,0,False,False,False,False,False,False,False,False,False,
4d6be5dc6413d81b,CAT,8-K,8-K,primary,2023-12-14,4088,830,0.57,3.72,0.0466,5,0,False,False,False,False,False,False,False,False,False,
2b92db8376a56b14,CAT,8-K,EX-99.1,exhibit,2023-12-14,2340,319,0.801,6.29,0.013,0,0,False,False,False,False,False,False,False,False,False,
1a39fd9f5cb17d3f,CAT,10-Q,10-Q,primary,2023-11-01,290293,61431,0.535,3.44,0.0094,80,9,False,False,False,False,False,False,False,True,False,info:page_artifacts_dropped:211
95991375b1388704,CAT,8-K,8-K,primary,2023-10-31,4442,883,0.587,3.83,0.0461,5,0,False,False,False,False,False,False,False,False,False,
7e500081482ab22a,CAT,8-K,EX-99.1,exhibit,2023-10-31,81677,19164,0.426,2.9,0.0152,31,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:77
59a409bd66e05a2a,CAT,8-K,EX-99.2,exhibit,2023-10-31,10879,1782,0.744,5.09,0.0129,3,0,False,False,False,False,False,False,False,False,False,
eff58e72127f3f4f,CAT,8-K,8-K,primary,2023-10-16,5861,1096,0.638,4.19,0.0298,5,0,False,False,False,False,False,False,False,False,False,
7c064575909d3783,CAT,8-K,EX-99.1,exhibit,2023-10-16,3751,531,0.807,6.03,0.002,0,0,False,False,False,False,False,False,False,False,False,
254ff59f4816639a,CAT,8-K,8-K,primary,2023-09-01,8539,1374,0.727,5.17,0.0192,9,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:3
89a944e366063873,CAT,8-K,8-K,primary,2023-08-09,4223,850,0.588,3.77,0.0393,5,0,False,False,False,False,False,False,False,False,False,
fbb98467d806cee0,CAT,10-Q,10-Q,primary,2023-08-02,286505,61154,0.531,3.4,0.0089,80,8,False,False,False,False,False,False,False,True,False,info:page_artifacts_dropped:213
167c416c4240907c,CAT,8-K,8-K,primary,2023-08-01,4429,883,0.586,3.82,0.0461,5,0,False,False,False,False,False,False,False,False,False,
32ce07049ee67476,CAT,8-K,EX-99.1,exhibit,2023-08-01,81181,19104,0.423,2.88,0.0147,31,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:77
7dfbe6d4f3aec5b7,CAT,8-K,EX-99.2,exhibit,2023-08-01,10917,1787,0.744,5.09,0.0128,3,0,False,False,False,False,False,False,False,False,False,
d6677a337bc07233,CAT,8-K,8-K,primary,2023-06-20,9788,1698,0.633,4.72,0.0287,18,0,False,False,False,False,False,False,False,False,False,
f569ce2ef49e0cea,CAT,8-K,EX-99.1,exhibit,2023-06-20,2154,309,0.784,5.93,0.0136,0,0,False,False,False,False,False,False,False,False,False,
2379420def4ead09,CAT,10-Q,10-Q,primary,2023-05-03,233817,47936,0.567,3.62,0.0093,68,8,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:167
f566d6b3bca03870,CAT,8-K,8-K,primary,2023-04-27,4436,885,0.585,3.81,0.0499,5,0,False,False,False,False,False,False,False,False,False,
54dde99df90c382b,CAT,8-K,EX-99.1,exhibit,2023-04-27,74680,17371,0.436,2.94,0.0128,27,0,False,False,False,False,False,False,True,True,False,info:page_artifacts_dropped:69
1e49e6c2b52fa267,CAT,8-K,EX-99.2,exhibit,2023-04-27,11191,1828,0.747,5.1,0.0139,3,0,False,False,False,False,False,False,False,False,False,
331f789634de2a8d,CAT,10-K,10-K,primary,2023-02-15,525206,100593,0.62,4.0,0.0136,125,21,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:261
d4fa6e5554c7435e,CAT,8-K,8-K,primary,2023-02-02,5179,1015,0.614,3.93,0.0351,5,0,False,False,False,False,False,False,False,False,False,
