ai_relevance,ai_role,ticker,section_name,materiality,valence_ai,confidence,evidence_span
none,E_none,ADBE,,low,0.0,0.99,"This document is about Advanced Micro Devices (AMD), not Adobe (ADBE). There is no mention of Adobe or any of its products/services. The article discusses how to purchase AMD stock and AMD's AI growth, which is entirely unrelated to Adobe."
none,E_none,NVDA,financial_statements,low,0.0,0.99,This document contains only litigation disclosures regarding a securities class action lawsuit related to channel inventory and cryptocurrency mining GPU demand between 2017-2018. There is no mention of AI whatsoever.
substantive,A_partnership,NVDA,business,high,2.0,0.95,"Extending our technology and platform leadership in AI. We provide a complete, end-to-end accelerated computing platform for AI, addressing both training and inferencing. This includes full-stack data center-scale compute and networking solutions across processing units, interconnects, systems, and software. Our compute solutions include all three major processing units in AI servers - GPUs, CPUs, and DPUs. GPUs are uniquely suited to AI, and we will continue to add AI-specific features to our GPU architecture to further extend our leadership position."
substantive,A_partnership,NVDA,business,high,2.0,0.95,"Extending our technology and platform leadership in AI. We provide a complete, end-to-end accelerated computing platform for deep learning and machine learning, addressing both training and inferencing. This includes GPUs, interconnects, systems, our CUDA programming language, algorithms, libraries, and other software. GPUs are uniquely suited to AI, and we will continue to add AI-specific features to our GPU architecture to further extend our leadership position."
substantive,A_partnership,NVDA,,high,2.0,0.92,"NVIDIA announced its acquisition of Hugging Face for $12.93 billion, aiming to scale its platform, strengthen infrastructure, and broaden AI access for developers globally."
substantive,B_costcut,ADBE,risk_factors,high,-2.0,0.92,"Uncertainty around new and evolving AI uses may require significant, additional investment to develop models and proprietary datasets, responsible-use frameworks and new approaches and processes to attribute or compensate content creators. We have experienced, and may in the future experience, challenges accessing AI models, datasets or hardware. Developing, testing and deploying AI systems and third-party AI models may continue to increase the cost of our solutions, including due to the nature of the computing costs involved in such systems. These costs could adversely impact our margins as we continue to make significant investments in AI development, add AI capabilities and third-party AI models to our solutions and scale our AI solutions without assurance that our customers and users will adopt them."
substantive,B_costcut,ADBE,risk_factors,high,-1.0,0.85,"Developing, testing and deploying AI systems and third-party AI models may continue to increase the cost of our solutions, including due to the nature of the computing costs involved in such systems. These costs could adversely impact our margins as we continue to make significant investments in AI development, add AI capabilities and third-party AI models to our solutions and scale our AI solutions without assurance that our customers and users will adopt them."
substantive,B_costcut,ADBE,risk_factors,high,-1.0,0.85,"Developing, testing and deploying AI systems may also increase the cost of our offerings, including due to the nature of the computing costs involved in such systems. These costs could adversely impact our margins as we continue to add AI capabilities to our offerings and scale our AI offerings without assurance that our customers and users will adopt them."
substantive,C_positive_exposure,NVDA,,high,2.0,0.99,"Revenue of $96.2 billion, up 106% from a year ago; Data Center revenue of $89.0 billion, up 117% from a year ago; ""AI has reached its inflection point. It's doing useful work. Its tokens are productive and profitable. Now, compute is revenue""; ""demand is accelerating""; ""The AI infrastructure buildout is at full steam"""
substantive,C_positive_exposure,NVDA,,high,2.0,0.99,"Fourth-quarter revenue was a record $62.3 billion, up 22% from the previous quarter and up 75% from a year ago, driven by the major platform shifts - accelerated computing and AI. Full-year revenue rose 68% to a record $193.7 billion."
substantive,C_positive_exposure,NVDA,,high,2.0,0.99,"Record quarterly Data Center revenue of $30.8 billion, up 17% from Q2 and up 112% from a year ago. ""The age of AI is in full steam, propelling a global shift to NVIDIA computing,"" said Jensen Huang, founder and CEO of NVIDIA. ""Demand for Hopper and anticipation for Blackwell - in full production - are incredible as foundation model makers scale pretraining, post-training and inference. ""AI is transforming every industry, company and country. Enterprises are adopting agentic AI to revolutionize workflows. Industrial robotics investments are surging with breakthroughs in physical AI."""
substantive,D_negative_exposure,NVDA,,high,-2.0,0.95,"After a 120-day delayed compliance period, the IFR will, unless modified, impose a worldwide licensing requirement on all products classified under Export Control Classification Numbers, or ECCNs, 3A090.a, 4A090.a, or corresponding .z ECCNs, including all related software and technology. Any system that incorporates one or more of the covered integrated circuits, or ICs, (including but not limited to NVIDIA DGX, HGX, and MGX systems) will be covered by the new licensing requirement. The licensing requirement will include future NVIDIA ICs, boards, or systems classified with ECCN 3A090.a or 4A090.a, or corresponding .z ECCNs, achieving certain total processing performance and/or performance density. Unless one of the new license exceptions is available to specific transactions, the worldwide licensing requirements will apply to the following NVIDIA products, and any others we develop that meet the characteristics of 3A090.a or 4A090.a, including but not limited to: A100, A800, H100, H200, H800, B100, B200, GB200, L4, L40S, and RTX 6000 Ada."
substantive,D_negative_exposure,NVDA,mdna,high,-2.0,0.95,"Given the increasing strategic importance of AI and rising geopolitical tensions, the USG has changed and may again change the export control rules at any time and further subject a wider range of our products to export restrictions and licensing requirements, negatively impacting our business and financial results."
substantive,D_negative_exposure,NVDA,risk_factors,high,-2.0,0.95,"Given the increasing strategic importance of AI and rising geopolitical tensions, the USG may unilaterally change the export control rules at any time and subject a wide range of our products, including but not limited to A800, H800, and gaming products to export restrictions and licensing requirements, negatively impacting our business and financial results."
substantive,E_none,MU,risk_factors,high,-1.0,0.85,"We are increasingly incorporating AI capabilities into the development of technologies and our business operations, and into our products and services. AI technology is complex and rapidly evolving, and may expose us to significant competitive, legal, regulatory, and other risks. The implementation of AI can be costly and there is no guarantee that our use of AI will enhance our technologies, benefit our business operations, or produce products and services that are preferred by our customers. AI will likely increase or change the competitive environment in our markets. Our competitors may be more successful in their AI strategy or they may have access to greater AI resources or technology and develop superior products and services."
substantive,E_none,TEAM,risk_factors,medium,-1.0,0.8,"We have incorporated and expect to continue to incorporate AI and machine learning solutions, products and features, including generative AI solutions, products and features, into our products, platform, and business, which act on data-driven insights derived from both first and third-party applications. AI and machine learning solutions, products and features may become more important to our operations or to our future growth over time. There can be no assurance that the use of AI and machine learning solutions, products and features will enhance our products or services, produce intended results, or be beneficial to our business, including our efficiency or profitability, and we may fail to properly implement or market our AI and machine learning solutions, products and features."
substantive,E_none,MU,risk_factors,medium,-1.0,0.75,"We are increasingly incorporating AI capabilities into the development of technologies and our business operations, and into our products and services. AI technology is complex and rapidly evolving, and may expose us to significant competitive, legal, regulatory, and other risks. The implementation of AI can be costly and there is no guarantee that our use of AI will enhance our technologies, benefit our business operations, or produce products and services that are preferred by our customers. AI will likely increase or change the competitive environment in our markets. Our competitors may be more successful in their AI strategy or they may have access to greater AI resources or technology and develop superior products and services."
